"Product","Brand","Ingredients","Price","Rev_score","Size","Rev_count"
"Double Duty Beauty Shape Tape Contour Concealer","Tarte","12S Fair: Water/Aqua/Eau, Cyclopentasiloxane, Cyclohexasiloxane, Methyl Methacrylate Crosspolymer, Butylene Glycol, PEG-10 Dimethicone, Trimethylsiloxysilicate, Sodium Chloride, Cetyl PEG/PPG-10/1 Dimethicone, Triethyl Citrate, Disteardimonium Hectorite, Aluminum Hydroxide, Triethoxycaprylylsilane, Phenoxyethanol, Dimethicone/Vinyl Dimethicone Crosspolymer, Parfum/Fragrance, Amyl Cinnamal, Benzyl Salicylate, Geraniol, Hexyl Cinnamal, Hydroxycitronellal, Limonene, Linalool, Olea Europaea (Olive) Fruit Oil, Butyrospermum Parkii (Shea) Butter, Mangifera Indica (Mango) Seed Butter, Ulmus Davidiana Root Extract, Helianthus Annuus (Sunflower) Seed Oil, Convallaria Majalis Bulb/Root Extract, Leontopodium Alpinum Flower/Leaf Extract, Lilium Candidum Flower Extract, Magnolia Liliflora Flower Extract, Paeonia Lactiflora Root Extract, Glycyrrhiza Glabra (Licorice) Root Extract, Tocopherol, TBHQ, Ethylhexylglycerin, Disodium EDTA. May Contain: Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77492, CI 77499).",27,93,0.33,10981
"CC+ Cream with SPF 50+","It Cosmetics","Active: Titanium Dioxide 9.0% Zinc Oxide 6.3%. Inactive: Water, Snail Secretion Filtrate, Phenyl Trimethicone, Dimethicone, Butylene Glycol, Butylene Glycol Dicaprylate/Dicaprate, Orbignya Oleifera Seed Oil, Butyloctyl Salicylate, Cetyl PEG/PPG-10/1 Dimethicone, Cyclopentasiloxane, Cyclohexasiloxane, Magnesium Sulfate, Polyglyceryl-4 Isostearate, Dimethicone/Vinyl Dimethicone Crosspolymer, Aluminum Hydroxide, Hexyl Laurate, Stearic Acid, Calcium Stearate, Caprylyl Glycol, Triethoxycaprylylsilane, Ethylhexylglycerin, Citrus Medica Limonum (Lemon) Peel Oil, Tocopheryl Acetate, Sorbitan Isostearate, Phenoxyethanol, Citrus Aurantium Bergamia (Bergamot) Fruit Oil, 1,2-Hexanediol, Disodium EDTA, Citrus Aurantium Dulcis (Orange) Peel Oil, Citrus Aurantifolia (Lime) Oil, Vitis Vinifera (Grape) Seed Oil, Punica Granatum Seed Oil, Pinus Sylvestris Leaf Oil, Persea Gratissima (Avocado) Oil, Niacinamide, Citrus Grandis (Grapefruit) Peel Oil, Cholesterol, Anthemis Nobilis Flower Water, Lactobacillus/Honeysuckle Flower/Licorice Root/Morus Alba Root/Pueraria Lobata Root/Schizandra Chinensis Fruit/Scutellaria Baicalensis Root/Sophora Japonica Flower Extract Ferment Filtrate, Perfluorohexane, Olea Europaea (Olive) Leaf Extract, Glycerin, Eucalyptus Globulus Leaf Oil, Camellia Sinensis Leaf Extract, Chrysanthemum Indicum Flower Extract, Pueraria Lobata Root Extract, Perfluorodecalin, Morus Alba Fruit Extract, Magnolia Kobus Bark Extract, Glycine Soja (Soybean) Sprout Extract, Diospyros Kaki Leaf Extract, Cinnamomum Cassia Bark Extract, Artemisia Princeps Leaf Extract, Pentafluoropropane, Curcuma Longa (Turmeric) Root Extract, Steareth-20, Hydrolyzed Hyaluronic Acid, Colloidal Oatmeal, Hydrolyzed Silk, Citric Acid, Sodium Benzoate, Potassium Sorbate, Aloe Barbadensis Leaf Extract, N-Hydroxysuccinimide, Hydrolyzed Collagen, Caprylhydroxamic Acid, Tocopherol, Thiamine Hcl, Riboflavin, Retinyl Palmitate, Pantothenic Acid, Palmitoyl Oligopeptide, Niacin, Folic Acid, Chrysin, Carnitine Hcl, Biotin, Ascorbic Acid, Palmitoyl Tetrapeptide-7, Chlorhexidine Digluconate. May Contain: Iron Oxides (CI 77492, CI 77491, CI 77499).",39,87,1.08,13808
"Double Wear Stay In Place Makeup","Estée Lauder","Water\Aqua\Eau, Cyclopentasiloxane, Trimethylsiloxysilicate, PEG/PPG-18/18 Dimethicone, Butylene Glycol, Tribehenin, Polyglyceryl-3 Diisostearate, Magnesium Sulfate, Tocopheryl Acetate, Polymethylsilsesquioxane, Methicone, Laureth-7, Xanthan Gum, Alumina, Sodium Dehydroacetate, Disteardimonium Hectorite, Cellulose Gum, Propylene Carbonate, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, Phenoxyethanol. May Contain: Iron Oxides (CI 77491, CI 77492, CI 77499), Mica, Titanium Dioxide (CI 77891).

Please be aware that ingredient lists may change or vary from time to time. Please refer to the ingredient list on the product package you receive for the most up to date list of ingredients.",43,90,1,2618
"Continuous Setting Mist","Morphe","Water, Glycerin, Butylene Glycol, Propylene Glycol, Carica Papaya (Papaya) Fruit Extract, Vitisvenifera (Grape) Seed Extract, Pathenol, Phenoxyethanol, Tocopheryl Acetate, Cucumis Sativus (Cucumber) Fruit Water, Disodium Edta, Peg-40 Hydrogenated Castor Oil, Ppg-26-Buteth-26, Rosa Cenifolia Flower Extract, Enantia Chlorantha Bark Extract, Oleanolic Acid, Pvp, Isododecane, Trimethylsiloxysilicate, Propanediol, Decyl Glucoside, Fragrance.",16,91,2.8,1115
"I Am Magic Foundation","Juvia's Place","Water, Dimethicone, Isododecane, Methyl Trimethicone, Butylene Glycol, Peg-9 Polydimethylsiloxyethyl Dimethicone, Peg-10 Dimethicone, Vinyl Dimethicone/Methicone Silsesquioxane Crosspolymer, Disteardimonium Hectorite, Nylon-12, Trimethylsiloxysilicate, Sodium Chloride, Dimethicone/Peg-10/15 Crosspolymer, Triethyl Citrate, Dimethicone/Phenyl Vinyl Dimethicone Crosspolymer, Methicone, Polysilicone-11, Diglycerin, Talc, Dipropylene Glycol, Malus Domestica Fruit Cell Culture Extract, Sodium Citrate, Enantia Chlorantha Bark Extract, Xanthan Gum, Tocopherol, Maltodextrin, Orthosiphon Stamineus Extract, Glycerin, Lecithin, Oleanolic Acid, Sodium Dehydroacetate, Potassium Sorbate, Phenoxyethanol. May Contain: Iron Oxides, Diotitanium Xide, Mica.",20,NA,1,NA
"ORIGINAL Foundation Broad Spectrum SPF 15","BareMinerals","Active Ingredients: Titanium Dioxide 12.6%, Zinc Oxide 21%. Inactive Ingredients: Bismuth Oxychloride, Mica, Iron Oxides.",31,97,0.28,12937
"Face Tape Foundation","Tarte","8S: Water/Aqua/Eau, Cyclopentasiloxane, Methyl Methacrylate Crosspolymer, Phenyl Trimethicone, Butylene Glycol, Cyclohexasiloxane, Caprylyl Methicone, Glycerin, PEG-10 Dimethicone, Trimethylsiloxysilicate, Cyclomethicone, Sorbitan Isostearate, Sodium Chloride, Cetyl PEG/PPG-10/1 Dimethicone, Triethyl Citrate, Disteardimonium Hectorite, Aluminum Hydroxide, Phenoxyethanol, Dimethicone Crosspolymer, Triethoxycaprylylsilane, Fragrance/Parfum, Ethylhexylglycerin, Disodium EDTA, Benzyl Salicylate, Hexyl Cinnamal, Limonene, Hydroxycitronellal, Geraniol, Amyl Cinnamal, Linalool, Pyrus Malus (Apple) Fruit Extract, 1,2-Hexanediol, Tremella Fuciformis (Mushroom) Extract, Hyaluronic Acid, Hydrolyzed Hyaluronic Acid, Sodium Hyaluronate. May Contain: Iron Oxides (CI 77491, CI 77492, CI 77499), Titanium Dioxide (CI 77891).",39,NA,1.01,NA
"Born This Way Undetectable Medium-to-Full Coverage Foundation","Too Faced","Natural Beige: Water/Aqua/Eau, Cyclopentasiloxane, Glycerin, Aluminum Starch Octenylsuccinate, Isododecane, Polyglyceryl-4 Isostearate, Cetyl PEG/PPG-10/1 Dimethicone, Hexyl Laurate, Dimethicone, 1,2-Hexanediol, Alcohol, BHT, Butylene Glycol, Caprylyl Glycol, Cocos Nucifera (Coconut) Water/Cocos Nucifera Water, Diphenyl Dimethicone, Disteardimonium Hectorite, Ethylhexyl Methoxycinnamate, Ethylhexyl Palmitate, Hexylene Glycol, Lecithin, Magnesium Sulfate, Phenoxyethanol, Pistacia Lentiscus (Mastic) Gum/Pistacia Lentiscus Gum, Polysilicone-11, Potassium Sorbate, Propylene Carbonate, Rhododendron Ferrugineum Extract, Silica Dimethyl Silylate, Sodium Hyaluronate, Tetrahexyldecyl Ascorbate, Tetrasodium EDTA, Tribehenin, Triethoxycaprylylsilane, Iron Oxides (CI 77491, CI 77492, CI 77499), Titanium Dioxide (CI 77891).",39,83,1,6920
"Complexion Rescue Tinted Hydrating Gel Cream Broad Spectrum SPF 30","BareMinerals","Active: Titanium Dioxide 6.2%. Inactive: Water, Coconut Alkanes, Propanediol, Squalane, Trehalose, Isostearic Acid, Glycerin, Silica, Agar, Caprylic/Capric Triglyceride, Globularia Cordifolia Callus Culture Extract, Salicornia Herbacea Extract, Melilotus Officinalis Extract, Coco-Caprylate/Caprate, Butylene Glycol, Lauroyl Lysine, Sodium Hyaluronate, Succinoglycan, Polysorbate 60, Cellulose Gum, Polyglyceryl-4 Laurate/Succinate, Sorbitan Sesquiisostearate, Magnesium Stearate, Magnesium Hydroxide, Magnesium Chloride, Potassium Chloride, Calcium Chloride, Potassium Sorbate, Phenoxyethanol. May Contain: Titanium Dioxide, Iron Oxides.",32,89,1.18,4942
"Studio Fix Powder Plus Foundation","MAC","Talc, Silica, Isostearyl Palmitate, Methicone, Caprylyl Glycol, Hexylene Glycol, Phenoxyethanol. May Contain: Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77492, CI 77499), Chromium Oxide Greens (CI 77288), Ultramarines (CI 77007).

Please read the ingredient list on the packaging of your product to be sure that the ingredients are appropriate for your personal use.",31,93,0.52,432
