"Product","Country","Ingredients","Price","Rev_score","Rev_count","Size","Brand"
"CYO Long Lasting Foundation Lifeproof, 106","France","Aqua (Water), Cyclopentasiloxane, Caprylyl methicone, Bis-PEG/PPG-14/14 dimethicone, Butylene glycol, Boron nitride, Trimethylsiloxysilicate, Mica, Talc, Disteardimonium hectorite, Dimethicone, Phenoxyethanol, Tocopheryl acetate, Magnesium sulfate, Propylene carbonate, Xanthan gum, Triethoxycaprylylsilane, Methylparaben, Ethylparaben, Pentaerythrityl tetra-di-T-butyl hydroxyhydrocinnamate, May contain CI 77491 (Iron oxides), CI 77492 (Iron oxides), CI 77499 (Iron oxides), CI 77891 (Titanium dioxide)",7,4.4,132,1,"CYO"
"CYO Fixing Powder All Set","","Talc, Aluminum starch octenylsuccinate, Isostearyl neopentanoate, Silica, Zinc stearate, Phenoxyethanol, Dimethicone, Methylparaben, Trimethylsiloxysilicate, Ethylparaben, Caprylyl glycol, (May contain) CI 77492 (Iron oxides), CI 77491 (Iron oxides), CI 77499 (Iron oxides)",5,4.8,10,0.52,"CYO"
"Coty Airspun Loose Face Powder, Naturally Neutral","China","Talc, Calcium Silicate, Isopropyl Palmitate, Cetyl Acetate, Zinc Stearate, Fragrances, Stearyl Acetate, Imidazolidinyl Urea, Methylparaben, Acetylated Lanolin Alcohol, Oleyl Acetate, Propylparaben, (May Contain: Titanium Dioxide, Iron Oxides, Zinc Oxide)",7.99,4.4,25,2.3,"Coty"
"CYO Illuminating Mixing Cream Turn On The Light, Into The Shadows","","Caprylic/capric triglyceride, Aluminum starch octenylsuccinate, Talc, C12-15 alkyl benzoate, Cetearyl ethylhexanoate, Polyethylene, Hydrogenated castor oil, Isododecane, Silica dimethyl silylate, Phenoxyethanol, Isopropyl myristate, Disteardimonium hectorite, Propylene carbonate (May contain) CI 77891 (Titanium dioxide), CI 77491 (Iron oxides), CI 77499 (Iron oxides), CI 75470 (Carmine), CI 77492 (Iron oxides)",5.5,4.3,30,1,"CYO"
"Wet n Wild MegaGlo Highlighter, Precious Petals -321B","China","Boron Nitride, Dimethicone, Octyldodecyl Stearoyl Stearate, Nylon-12, Ethyl Macadamiate, Polysorbate 20, Phytosteryl Macadamiate, Trimethylsiloxysilicate, Caprylic/Capric Triglyceride, Phenoxyethanol, Sorbitan Stearate, Lauroyl Lysine, Caprylyl Glycol, Magnesium Aluminum Silicate, Hexylene Glycol, Ethylhexylglycerin, O-Cymen-5-Ol, Polyacrylamide, Tocopheryl Acetate, C13-14 Isoparaffin, Laureth-7, [+/- (May Contain/Peut Contenir): Mica, Titanium Dioxide/Ci 77891, Iron Oxides/Ci 77491, Ci 77492, Ci 77499, Carmine/Ci 75470]",5.29,5,9,0.19,"Wet n Wild"
"CYO Matte & Blur Primer Matte-Attack","Germany","Aqua (Water), Cyclopentasiloxane, Isohexadecane, Cera alba (Beeswax), Cetyl PEG/PPG-10/1 dimethicone, Isododecane, Sodium chloride, Dimethicone crosspolymer, Sodium potassium aluminum silicate, Phenoxyethanol, Tocopheryl acetate, Polyglyceryl-3 diisostearate, Mica, Aluminum hydroxide, Triethoxycaprylylsilane, Silica, Methylparaben, Ethylparaben, Tin oxide, Hydrogenated lecithin, (May contain) CI 77891 (Titanium dioxide), CI 77492 (Iron oxides), CI 77491 (Iron oxides), CI 77499 (Iron oxides)",5,4.6,16,1,"CYO"
"Milani Conceal + Perfect 2-in-1 Foundation + Concealer, Creamy Vanilla","USA","Water (Aqua), Cyclopentasiloxane, Isononyl Isononanoate, Cetyl PEG/PPG-10/1 Dimethicone, Butylene Glycol, Mica, Glycerin, Bis-PEG/PPG-14/14 Dimethicone, Vp/Eicosene Copolymer, Bis-Vinyl Dimethicone/Dimethicone Copolymer, Ozokerite, Polymethylsilsesquioxane, Disteardimonium Hectorite, Sodium Chloride, Phenoxyethanol, Beeswax (Cera Alba), Glycereth-18 Ethylhexanoate, Potassium Sorbate, Silica, Caprylyl Glycol, 1,2-Henanediol, Xanthan Gum, Isododecane, Propylene Carbonate, Prunus Domestica Fruit Extract, Glycereth-18, Aluminum Dimyristate, Triethoxycaprylylsilane, Disodium Stearoyl Glutamate, Allantoin, C30-45 Alkyl Cetearyl Dimethicone Crosspolymer, Polyisobutene, C18-21 Alkane, +/- May Contain: Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77492, CI 77499)",NA,4.5,485,1,"Milani"
"Maybelline Instant Age Rewind Eraser Dark Circles Treatment Concealer, Sand","United States","",8.49,4.1,1077,0.2,"Maybelline"
"No7 Airbrush Away Original Primer","Germany","Cyclopentasiloxane, Aqua (Water), Butylene Glycol, Dimethicone Crosspolymer, HDI Trimethylol Hexyllactone Crosspolymer, HDI, Cyclohexasiloxane, Silica, Phenyl Trimethicone, Capric Triglyceride, Caprylic, Arabinogalactan, Glycerin, Magnesium Sulfate, Dimethicone, PEG, PEG/PPG 18/18, Phenoxyethanol, 1 Dimethicone, Cetyl PEG, PPG-10, Polyglyceryl-4 Isostearate, Hexyl Laurate, Fragrance, Methylparaben, Ethylparaben, Silica Dimethyl Silylate, Dipropylene Glycol, Tetrasodium EDTA, Sodium Hyaluronate, Cl 77891 (Titanium Dioxide), Cl 77491 (Iron Oxides)",19.99,4.3,174,1.01,"No7"
"Rimmel Stay Matte Pressed Powder, Transparent","England","",5.29,4.4,859,0.49,"Rimmel"
